Date,Latitude (deg.),Longitude (deg.),date
2016-01-21,-10.8,0.7,2016-01-21
2016-01-27,-45.8,53.6,2016-01-27
2016-02-06,-30.4,-25.5,2016-02-06
2016-02-19,0.7,-11.6,2016-02-19
2016-02-21,36.5,-37.2,2016-02-21
2016-02-23,32.3,67.2,2016-02-23
2016-03-03,-48.0,51.0,2016-03-03
2016-03-16,-49.2,-6.3,2016-03-16
2016-04-10,22.0,149.0,2016-04-10
2016-04-12,38.3,162.2,2016-04-12
2016-04-18,20.7,-14.5,2016-04-18
2016-04-24,9.8,-42.8,2016-04-24
2016-05-13,26.2,-122.3,2016-05-13
2016-05-16,3.2,6.6,2016-05-16
2016-05-20,-32.8,15.1,2016-05-20
2016-05-29,10.2,-48.8,2016-05-29
2016-06-02,33.8,-110.9,2016-06-02
2016-06-05,-17.4,138.3,2016-06-05
2016-06-27,15.8,-11.9,2016-06-27
2016-07-05,1.0,48.6,2016-07-05
2016-07-21,7.8,-1.6,2016-07-21
2016-08-05,46.4,171.6,2016-08-05
2016-08-11,-43.7,53.8,2016-08-11
2016-08-27,-56.9,162.2,2016-08-27
2016-09-14,-3.5,44.6,2016-09-14
2016-09-22,-51.8,178.5,2016-09-22
2016-10-01,36.2,6.7,2016-10-01
2016-11-03,-39.6,-16.3,2016-11-03
2016-11-24,-15.2,80.3,2016-11-24
2016-11-29,-30.6,-93.1,2016-11-29
2016-12-07,-34.5,-126.6,2016-12-07
2016-12-23,21.3,49.3,2016-12-23
